#period	period time	calc time
780	1748	752
781	1499	750
782	1499	1000
783	1751	747
784	1496	751
785	1502	998
786	1496	1001
787	1749	1001
788	1744	756
789	1503	752
790	1499	751
791	1498	1000
792	1749	750
793	1499	1000
794	1750	749
795	1498	750
796	1498	1001
797	1749	751
798	1498	753
799	1499	1001
800	1749	751
801	1498	1001
802	1748	751
803	1501	748
804	1497	1000
805	1499	750
806	1748	751
807	1749	752
808	1248	1001
809	1749	1000
810	1500	750
811	1747	751
812	1500	1249
813	1747	1001
814	1748	751
815	1499	750
816	1498	752
817	1499	751
818	1498	1001
819	1749	1001
820	1748	751
821	1500	745
822	1498	752
823	1498	1001
824	1749	750
825	1496	1005
826	1752	748
827	1499	746
828	1499	1000
829	1748	750
830	1250	999
831	1749	999
832	1747	752
833	1499	752
834	1499	749
835	1499	1001
836	1750	749
837	1498	1000
838	1747	750
839	1500	749
840	1496	1000
841	1751	748
842	1497	750
843	1498	1002
844	1749	750
845	1499	1001
846	1748	751
847	1498	751
848	1501	999
849	1497	1001
850	1749	1000
851	1749	750
852	1498	752
853	1500	1000
854	1498	1001
855	1749	751
856	1749	1000
857	1500	1000
858	1747	751
859	1500	750
860	1498	1001
861	1748	752
862	1499	1001
863	1749	749
864	1497	751
865	1499	1001
866	1750	750
867	1497	751
868	1500	1000
869	1748	751
870	1499	1003
871	1750	751
872	1498	751
873	1499	1000
874	1498	1000
875	1750	1000
876	1747	751
877	1498	752
878	1499	1000
879	1499	1002
880	1749	750
881	1498	1250
882	1749	747
883	1499	1000
884	1499	1000
885	1747	1002
886	1749	746
887	1499	1000
888	1752	998
889	1745	501
890	1249	1001
891	1748	751
892	1499	751
893	1500	999
894	1747	751
895	1502	998
896	1745	500
897	1249	1001
898	1749	751
899	1498	751
900	1748	1000
901	1748	501
902	1250	999
903	1747	751
904	1499	751
905	1499	1001
906	1499	1002
907	1999	751
908	1499	1000
909	1498	750
910	1749	750
911	1250	999
912	1747	1001
913	1749	1001
914	1498	1001
915	1749	752
916	1499	751
917	1498	1001
918	1749	750
919	1499	1000
920	1750	750
921	1498	750
922	1498	1001
923	1750	749
924	1502	749
925	1494	1250
926	1999	501
927	1248	1001
928	1750	749
929	1499	749
930	1497	1001
931	1499	1001
932	1748	1001
933	1750	750
934	1498	749
935	1495	1004
936	1498	1003
937	1751	1001
938	1752	989
939	1493	754
940	1752	748
941	1499	746
942	1499	1002
943	1747	752
944	1502	748
945	1747	748
946	1247	1006
947	1751	999
948	1748	746
949	1494	751
950	1499	1255
951	1751	752
952	1499	1000
953	1750	749
954	1497	751
955	1500	1000
956	1501	997
957	1745	1001
958	1752	746
959	1495	750
960	1499	1002
961	1499	1001
962	1748	1000
963	1749	751
964	1499	750
965	1500	1000
966	1497	1000
967	1749	750
968	1499	749
969	1748	751
970	1498	1001
971	1499	1000
972	1748	751
973	1499	750
974	1500	999
975	1747	1001
976	1499	1002
977	1749	750
978	1498	751
979	1498	1000
980	1748	752
981	1500	1000
982	1749	999
983	1750	748
984	1496	751
985	1499	751
986	1499	751
987	1499	1002
988	1749	750
989	1498	1001
990	1749	751
991	1499	751
992	1500	998
993	1499	998
994	1747	1000
995	1748	747
996	1499	747
997	1499	747
998	1499	747
999	1499	1001
1000	1499	1001
1001	1748	1001
1002	1749	750
1003	1499	748
1004	1498	1000
1005	1498	1002
1006	1750	749
1007	1747	751
1008	1499	751
1009	1499	1001
1010	1500	751
1011	1747	750
1012	1249	1000
1013	1749	1000
1014	1749	751
1015	1498	750
1016	1499	1000
1017	1499	1000
1018	1749	751
1019	1500	999
1020	1747	751
1021	1499	1000
1022	1499	1001
1023	1749	752
1024	1499	750
1025	1498	1000
1026	1749	1000
1027	1499	1001
1028	1750	999
1029	1497	751
1030	1497	1002
1031	1751	750
1032	1499	1002
1033	1748	1001
1034	1499	751
1035	1499	1001
1036	1749	750
1037	1499	749
1038	1747	1001
1039	1750	750
1040	1497	751
1041	1499	752
1042	1498	751
1043	1499	1001
1044	1499	1000
1045	1748	1001
1046	1750	749
1047	1497	749
1048	1495	999
1049	1502	1000
1050	1748	1002
1051	1746	754
1052	1498	754
1053	1499	1004
1054	1501	1001
1055	1750	747
1056	1498	746
1057	1748	750
1058	1499	750
1059	1499	751
1060	1499	1003
1061	1495	1003
1062	1751	750
1063	1499	1001
1064	1752	747
1065	1495	750
1066	1500	740
1067	1498	1000
1068	1502	998
1069	1746	1000
1070	1748	750
1071	1498	751
1072	1499	750
1073	1500	999
1074	1748	744
1075	1499	751
1076	1749	751
1077	1498	752
1078	1499	750
1079	1499	1000
1080	1498	1001
1081	1749	751
1082	1501	998
1083	1746	751
1084	1499	750
1085	1499	1000
1086	1748	753
1087	1499	751
1088	1499	1001
1089	1749	750
1090	1498	1000
1091	1750	749
1092	1497	751
1093	1499	1001
1094	1499	751
1095	1748	1002
1096	1748	751
1097	1249	1000
1098	1749	750
1099	1499	761
1100	1501	998
1101	1495	1001
1102	1749	1001
1103	1748	751
1104	1499	752
1105	1498	1001
1106	1499	1000
1107	1748	1000
1108	1746	753
1109	1504	749
1110	1494	1003
1111	1499	1000
1112	1751	746
1113	1489	756
1114	1508	1001
1115	1748	1000
1116	1495	754
1117	1752	750
1118	1251	999
1119	1746	748
1120	1749	1000
1121	1499	999
1122	1747	753
1123	1499	750
1124	1500	999
1125	1748	499
1126	1247	1000
1127	2000	749
1128	1497	750
1129	1499	1001
1130	1748	751
1131	1499	741
1132	1501	998
1133	1746	751
1134	1499	1001
1135	1748	500
1136	1250	999
1137	1747	751
1138	1498	750
1139	1748	751
1140	1749	502
1141	1249	1000
1142	1748	751
1143	1499	751
1144	1499	1001
1145	1500	999
1146	1747	1000
1147	1749	750
1148	1498	751
1149	1498	1002
1150	1499	1000
1151	1749	1000
1152	1748	1000
1153	1499	1001
1154	2000	999
1155	1747	751
1156	1748	502
1157	1249	1001
1158	1999	752
1159	1499	750
1160	1499	1001
1161	1748	501
1162	1250	999
1163	1749	998
1164	1997	745
1165	1499	747
1166	1498	1001
1167	1498	1002
1168	1745	754
1169	1501	752
1170	1750	748
1171	1499	1000
1172	1500	747
1173	1747	750
1174	1496	752
1175	1501	1000
1176	1748	1001
1177	1499	1000
1178	1751	747
1179	1496	750
1180	1501	997
1181	1746	1000
1182	1997	1000
1183	1498	1001
1184	1749	751
1185	1499	752
1186	1499	1000
1187	1748	751
1188	1500	1000
1189	1747	1001
1190	1750	499
1191	1247	1001
1192	1749	750
1193	1498	750
1194	1499	1001
1195	1749	750
1196	1499	1000
1197	1748	750
1198	1500	749
1199	1499	998
1200	1497	750
1201	1748	1001
1202	1749	500
1203	1248	1002
1204	1750	749
1205	1498	751
1206	1499	1001
1207	1499	1000
1208	1750	999
1209	1747	750
1210	1498	751
1211	1499	1001
1212	1499	751
1213	1748	750
1214	1753	497
1215	1244	1001
1216	1749	750
1217	1500	748
1218	1498	1000
1219	1501	993
1220	1747	999
1221	1748	752
1222	1499	750
1223	1496	1002
1224	1498	1003
1225	1750	746
1226	1500	1250
1227	1746	1004
1228	1749	747
1229	1499	749
1230	1499	1003
1231	1750	749
1232	1498	999
1233	1747	1001
1234	1499	752
1235	1500	999
1236	1750	747
1237	1495	750
1238	1498	1000
1239	1749	752
1240	1499	1000
1241	1748	751
1242	1499	750
1243	1499	1000
1244	1502	997
1245	1745	1001
1246	1749	751
1247	1499	750
1248	1498	1002
1249	1501	999
1250	1746	751
1251	1749	1001
